company_id (GXID),esg_factor_id,date_key,score
100001,1,1/3/2014,1
100001,1,1/10/2014,1.5
100001,1,1/17/2014,2
100001,1,1/24/2014,2.5
100001,1,1/31/2014,3
100001,1,2/7/2014,3.5
100001,1,2/14/2014,4
100001,1,2/21/2014,4.5
100001,1,2/28/2014,5
100001,1,3/7/2014,5.5
100001,1,3/14/2014,6
100001,1,3/21/2014,6.5
100001,1,3/28/2014,7
100001,1,4/4/2014,7.5
100001,1,4/11/2014,8
100001,1,4/18/2014,8.5
100001,1,4/25/2014,9
100001,1,5/2/2014,9.5
100001,1,5/9/2014,10
100001,1,5/16/2014,10.5
100001,1,5/23/2014,11
100001,1,5/30/2014,11.5
100001,1,6/6/2014,12
100001,1,6/13/2014,12.5
100001,1,6/20/2014,13
100001,1,6/27/2014,13.5
100001,1,7/4/2014,14
100001,1,7/11/2014,14.5
100001,1,7/18/2014,15
100001,1,7/25/2014,15.5
100001,1,8/1/2014,16
100001,1,8/8/2014,16.5
100001,1,8/15/2014,17
100001,1,8/22/2014,17.5
100001,1,8/29/2014,18
100001,1,9/5/2014,18.5
100001,1,9/12/2014,19
100001,1,9/19/2014,19.5
100001,1,9/26/2014,20
100001,1,10/3/2014,20.5
100001,1,10/10/2014,21
100001,1,10/17/2014,21.5
100001,1,10/24/2014,22
100001,1,10/31/2014,22.5
100001,1,11/7/2014,23
100001,1,11/14/2014,23.5
100001,1,11/21/2014,24
100001,1,11/28/2014,24.5
100001,1,12/5/2014,25
100001,1,12/12/2014,25.5
100001,1,12/19/2014,26
100001,1,12/26/2014,26.5
100001,1,1/2/2015,27
100001,1,1/9/2015,27.5
100001,1,1/16/2015,28
100001,1,1/23/2015,28.5
100001,1,1/30/2015,29
100001,1,2/6/2015,29.5
100001,1,2/13/2015,30
100001,1,2/20/2015,30.5
100001,1,2/27/2015,31
100001,1,3/6/2015,31.5
100001,1,3/13/2015,32
100001,1,3/20/2015,32.5
100001,1,3/27/2015,33
100001,1,4/3/2015,33.5
100001,1,4/10/2015,34
100001,1,4/17/2015,34.5
100001,1,4/24/2015,35
100001,1,5/1/2015,35.5
100001,1,5/8/2015,36
100001,1,5/15/2015,36.5
100001,1,5/22/2015,37
100001,1,5/29/2015,37.5
100001,1,6/5/2015,38
100001,1,6/12/2015,38.5
100001,1,6/19/2015,39
100001,1,6/26/2015,39.5
100001,1,7/3/2015,40
100001,1,7/10/2015,40.5
100001,1,7/17/2015,41
100001,1,7/24/2015,41.5
100001,1,7/31/2015,42
100001,1,8/7/2015,42.5
100001,1,8/14/2015,43
100001,1,8/21/2015,43.5
100001,1,8/28/2015,44
100001,1,9/4/2015,44.5
100001,1,9/11/2015,45
100001,1,9/18/2015,45.5
100001,1,9/25/2015,46
100001,1,10/2/2015,46.5
100001,1,10/9/2015,47
100001,1,10/16/2015,47.5
100001,1,10/23/2015,48
100001,1,10/30/2015,48.5
100001,1,11/6/2015,49
100001,1,11/13/2015,49.5
100001,1,11/20/2015,50
100001,1,11/27/2015,50.5
100001,1,1/2/2016,99
100001,2,1/3/2014,1.2
100001,2,1/10/2014,1.7
100001,2,1/17/2014,2.2
100001,2,1/24/2014,2.7
100001,2,1/31/2014,3.2
100001,2,2/7/2014,3.7
100001,2,2/14/2014,4.2
100001,2,2/21/2014,4.7
100001,2,2/28/2014,5.2
100001,2,3/7/2014,5.7
100001,2,3/14/2014,6.2
100001,2,3/21/2014,6.7
100001,2,3/28/2014,7.2
100001,2,4/4/2014,7.7
100001,2,4/11/2014,8.2
100001,2,4/18/2014,8.7
100001,2,4/25/2014,9.2
100001,2,5/2/2014,9.7
100001,2,5/9/2014,10.2
100001,2,5/16/2014,10.7
100001,2,5/23/2014,11.2
100001,2,5/30/2014,11.7
100001,2,6/6/2014,12.2
100001,2,6/13/2014,12.7
100001,2,6/20/2014,13.2
100001,2,6/27/2014,13.7
100001,2,7/4/2014,14.2
100001,2,7/11/2014,14.7
100001,2,7/18/2014,15.2
100001,2,7/25/2014,15.7
100001,2,8/1/2014,16.2
100001,2,8/8/2014,16.7
100001,2,8/15/2014,17.2
100001,2,8/22/2014,17.7
100001,2,8/29/2014,18.2
100001,2,9/5/2014,18.7
100001,2,9/12/2014,19.2
100001,2,9/19/2014,19.7
100001,2,9/26/2014,20.2
100001,2,10/3/2014,20.7
100001,2,10/10/2014,21.2
100001,2,10/17/2014,21.7
100001,2,10/24/2014,22.2
100001,2,10/31/2014,22.7
100001,2,11/7/2014,23.2
100001,2,11/14/2014,23.7
100001,2,11/21/2014,24.2
100001,2,11/28/2014,24.7
100001,2,12/5/2014,25.2
100001,2,12/12/2014,25.7
100001,2,12/19/2014,26.2
100001,2,12/26/2014,26.7
100001,2,1/2/2015,27.2
100001,2,1/9/2015,27.7
100001,2,1/16/2015,28.2
100001,2,1/23/2015,28.7
100001,2,1/30/2015,29.2
100001,2,2/6/2015,29.7
100001,2,2/13/2015,30.2
100001,2,2/20/2015,30.7
100001,2,2/27/2015,31.2
100001,2,3/6/2015,31.7
100001,2,3/13/2015,32.2
100001,2,3/20/2015,32.7
100001,2,3/27/2015,33.2
100001,2,4/3/2015,33.7
100001,2,4/10/2015,34.2
100001,2,4/17/2015,34.7
100001,2,4/24/2015,35.2
100001,2,5/1/2015,35.7
100001,2,5/8/2015,36.2
100001,2,5/15/2015,36.7
100001,2,5/22/2015,37.2
100001,2,5/29/2015,37.7
100001,2,6/5/2015,38.2
100001,2,6/12/2015,38.7
100001,2,6/19/2015,39.2
100001,2,6/26/2015,39.7
100001,2,7/3/2015,40.2
100001,2,7/10/2015,40.7
100001,2,7/17/2015,41.2
100001,2,7/24/2015,41.7
100001,2,7/31/2015,42.2
100001,2,8/7/2015,42.7
100001,2,8/14/2015,43.2
100001,2,8/21/2015,43.7
100001,2,8/28/2015,44.2
100001,2,9/4/2015,44.7
100001,2,9/11/2015,45.2
100001,2,9/18/2015,45.7
100001,2,9/25/2015,46.2
100001,2,10/2/2015,46.7
100001,2,10/9/2015,47.2
100001,2,10/16/2015,47.7
100001,2,10/23/2015,48.2
100001,2,10/30/2015,48.7
100001,2,11/6/2015,49.2
100001,2,11/13/2015,49.7
100001,2,11/20/2015,50.2
100001,2,11/27/2015,50.7
100001,2,1/2/2016,98
100001,3,1/3/2014,1.3
100001,3,1/10/2014,1.8
100001,3,1/17/2014,2.3
100001,3,1/24/2014,2.8
100001,3,1/31/2014,3.3
100001,3,2/7/2014,3.8
100001,3,2/14/2014,4.3
100001,3,2/21/2014,4.8
100001,3,2/28/2014,5.3
100001,3,3/7/2014,5.8
100001,3,3/14/2014,6.3
100001,3,3/21/2014,6.8
100001,3,3/28/2014,7.3
100001,3,4/4/2014,7.8
100001,3,4/11/2014,8.3
100001,3,4/18/2014,8.8
100001,3,4/25/2014,9.3
100001,3,5/2/2014,9.8
100001,3,5/9/2014,10.3
100001,3,5/16/2014,10.8
100001,3,5/23/2014,11.3
100001,3,5/30/2014,11.8
100001,3,6/6/2014,12.3
100001,3,6/13/2014,12.8
100001,3,6/20/2014,13.3
100001,3,6/27/2014,13.8
100001,3,7/4/2014,14.3
100001,3,7/11/2014,14.8
100001,3,7/18/2014,15.3
100001,3,7/25/2014,15.8
100001,3,8/1/2014,16.3
100001,3,8/8/2014,16.8
100001,3,8/15/2014,17.3
100001,3,8/22/2014,17.8
100001,3,8/29/2014,18.3
100001,3,9/5/2014,18.8
100001,3,9/12/2014,19.3
100001,3,9/19/2014,19.8
100001,3,9/26/2014,20.3
100001,3,10/3/2014,20.8
100001,3,10/10/2014,21.3
100001,3,10/17/2014,21.8
100001,3,10/24/2014,22.3
100001,3,10/31/2014,22.8
100001,3,11/7/2014,23.3
100001,3,11/14/2014,23.8
100001,3,11/21/2014,24.3
100001,3,11/28/2014,24.8
100001,3,12/5/2014,25.3
100001,3,12/12/2014,25.8
100001,3,12/19/2014,26.3
100001,3,12/26/2014,26.8
100001,3,1/2/2015,27.3
100001,3,1/9/2015,27.8
100001,3,1/16/2015,28.3
100001,3,1/23/2015,28.8
100001,3,1/30/2015,29.3
100001,3,2/6/2015,29.8
100001,3,2/13/2015,30.3
100001,3,2/20/2015,30.8
100001,3,2/27/2015,31.3
100001,3,3/6/2015,31.8
100001,3,3/13/2015,32.3
100001,3,3/20/2015,32.8
100001,3,3/27/2015,33.3
100001,3,4/3/2015,33.8
100001,3,4/10/2015,34.3
100001,3,4/17/2015,34.8
100001,3,4/24/2015,35.3
100001,3,5/1/2015,35.8
100001,3,5/8/2015,36.3
100001,3,5/15/2015,36.8
100001,3,5/22/2015,37.3
100001,3,5/29/2015,37.8
100001,3,6/5/2015,38.3
100001,3,6/12/2015,38.8
100001,3,6/19/2015,39.3
100001,3,6/26/2015,39.8
100001,3,7/3/2015,40.3
100001,3,7/10/2015,40.8
100001,3,7/17/2015,41.3
100001,3,7/24/2015,41.8
100001,3,7/31/2015,42.3
100001,3,8/7/2015,42.8
100001,3,8/14/2015,43.3
100001,3,8/21/2015,43.8
100001,3,8/28/2015,44.3
100001,3,9/4/2015,44.8
100001,3,9/11/2015,45.3
100001,3,9/18/2015,45.8
100001,3,9/25/2015,46.3
100001,3,10/2/2015,46.8
100001,3,10/9/2015,47.3
100001,3,10/16/2015,47.8
100001,3,10/23/2015,48.3
100001,3,10/30/2015,48.8
100001,3,11/6/2015,49.3
100001,3,11/13/2015,49.8
100001,3,11/20/2015,50.3
100001,3,11/27/2015,50.8
100001,3,1/2/2016,97
100001,4,1/3/2014,1.4
100001,4,1/10/2014,1.9
100001,4,1/17/2014,2.4
100001,4,1/24/2014,2.9
100001,4,1/31/2014,3.4
100001,4,2/7/2014,3.9
100001,4,2/14/2014,4.4
100001,4,2/21/2014,4.9
100001,4,2/28/2014,5.4
100001,4,3/7/2014,5.9
100001,4,3/14/2014,6.4
100001,4,3/21/2014,6.9
100001,4,3/28/2014,7.4
100001,4,4/4/2014,7.9
100001,4,4/11/2014,8.4
100001,4,4/18/2014,8.9
100001,4,4/25/2014,9.4
100001,4,5/2/2014,9.9
100001,4,5/9/2014,10.4
100001,4,5/16/2014,10.9
100001,4,5/23/2014,11.4
100001,4,5/30/2014,11.9
100001,4,6/6/2014,12.4
100001,4,6/13/2014,12.9
100001,4,6/20/2014,13.4
100001,4,6/27/2014,13.9
100001,4,7/4/2014,14.4
100001,4,7/11/2014,14.9
100001,4,7/18/2014,15.4
100001,4,7/25/2014,15.9
100001,4,8/1/2014,16.4
100001,4,8/8/2014,16.9
100001,4,8/15/2014,17.4
100001,4,8/22/2014,17.9
100001,4,8/29/2014,18.4
100001,4,9/5/2014,18.9
100001,4,9/12/2014,19.4
100001,4,9/19/2014,19.9
100001,4,9/26/2014,20.4
100001,4,10/3/2014,20.9
100001,4,10/10/2014,21.4
100001,4,10/17/2014,21.9
100001,4,10/24/2014,22.4
100001,4,10/31/2014,22.9
100001,4,11/7/2014,23.4
100001,4,11/14/2014,23.9
100001,4,11/21/2014,24.4
100001,4,11/28/2014,24.9
100001,4,12/5/2014,25.4
100001,4,12/12/2014,25.9
100001,4,12/19/2014,26.4
100001,4,12/26/2014,26.9
100001,4,1/2/2015,27.4
100001,4,1/9/2015,27.9
100001,4,1/16/2015,28.4
100001,4,1/23/2015,28.9
100001,4,1/30/2015,29.4
100001,4,2/6/2015,29.9
100001,4,2/13/2015,30.4
100001,4,2/20/2015,30.9
100001,4,2/27/2015,31.4
100001,4,3/6/2015,31.9
100001,4,3/13/2015,32.4
100001,4,3/20/2015,32.9
100001,4,3/27/2015,33.4
100001,4,4/3/2015,33.9
100001,4,4/10/2015,34.4
100001,4,4/17/2015,34.9
100001,4,4/24/2015,35.4
100001,4,5/1/2015,35.9
100001,4,5/8/2015,36.4
100001,4,5/15/2015,36.9
100001,4,5/22/2015,37.4
100001,4,5/29/2015,37.9
100001,4,6/5/2015,38.4
100001,4,6/12/2015,38.9
100001,4,6/19/2015,39.4
100001,4,6/26/2015,39.9
100001,4,7/3/2015,40.4
100001,4,7/10/2015,40.9
100001,4,7/17/2015,41.4
100001,4,7/24/2015,41.9
100001,4,7/31/2015,42.4
100001,4,8/7/2015,42.9
100001,4,8/14/2015,43.4
100001,4,8/21/2015,43.9
100001,4,8/28/2015,44.4
100001,4,9/4/2015,44.9
100001,4,9/11/2015,45.4
100001,4,9/18/2015,45.9
100001,4,9/25/2015,46.4
100001,4,10/2/2015,46.9
100001,4,10/9/2015,47.4
100001,4,10/16/2015,47.9
100001,4,10/23/2015,48.4
100001,4,10/30/2015,48.9
100001,4,11/6/2015,49.4
100001,4,11/13/2015,49.9
100001,4,11/20/2015,50.4
100001,4,11/27/2015,50.9
100001,4,1/2/2016,96
100001,5,1/3/2014,1.5
100001,5,1/10/2014,2
100001,5,1/17/2014,2.5
100001,5,1/24/2014,3
100001,5,1/31/2014,3.5
100001,5,2/7/2014,4
100001,5,2/14/2014,4.5
100001,5,2/21/2014,5
100001,5,2/28/2014,5.5
100001,5,3/7/2014,6
100001,5,3/14/2014,6.5
100001,5,3/21/2014,7
100001,5,3/28/2014,7.5
100001,5,4/4/2014,8
100001,5,4/11/2014,8.5
100001,5,4/18/2014,9
100001,5,4/25/2014,9.5
100001,5,5/2/2014,10
100001,5,5/9/2014,10.5
100001,5,5/16/2014,11
100001,5,5/23/2014,11.5
100001,5,5/30/2014,12
100001,5,6/6/2014,12.5
100001,5,6/13/2014,13
100001,5,6/20/2014,13.5
100001,5,6/27/2014,14
100001,5,7/4/2014,14.5
100001,5,7/11/2014,15
100001,5,7/18/2014,15.5
100001,5,7/25/2014,16
100001,5,8/1/2014,16.5
100001,5,8/8/2014,17
100001,5,8/15/2014,17.5
100001,5,8/22/2014,18
100001,5,8/29/2014,18.5
100001,5,9/5/2014,19
100001,5,9/12/2014,19.5
100001,5,9/19/2014,20
100001,5,9/26/2014,20.5
100001,5,10/3/2014,21
100001,5,10/10/2014,21.5
100001,5,10/17/2014,22
100001,5,10/24/2014,22.5
100001,5,10/31/2014,23
100001,5,11/7/2014,23.5
100001,5,11/14/2014,24
100001,5,11/21/2014,24.5
100001,5,11/28/2014,25
100001,5,12/5/2014,25.5
100001,5,12/12/2014,26
100001,5,12/19/2014,26.5
100001,5,12/26/2014,27
100001,5,1/2/2015,27.5
100001,5,1/9/2015,28
100001,5,1/16/2015,28.5
100001,5,1/23/2015,29
100001,5,1/30/2015,29.5
100001,5,2/6/2015,30
100001,5,2/13/2015,30.5
100001,5,2/20/2015,31
100001,5,2/27/2015,31.5
100001,5,3/6/2015,32
100001,5,3/13/2015,32.5
100001,5,3/20/2015,33
100001,5,3/27/2015,33.5
100001,5,4/3/2015,34
100001,5,4/10/2015,34.5
100001,5,4/17/2015,35
100001,5,4/24/2015,35.5
100001,5,5/1/2015,36
100001,5,5/8/2015,36.5
100001,5,5/15/2015,37
100001,5,5/22/2015,37.5
100001,5,5/29/2015,38
100001,5,6/5/2015,38.5
100001,5,6/12/2015,39
100001,5,6/19/2015,39.5
100001,5,6/26/2015,40
100001,5,7/3/2015,40.5
100001,5,7/10/2015,41
100001,5,7/17/2015,41.5
100001,5,7/24/2015,42
100001,5,7/31/2015,42.5
100001,5,8/7/2015,43
100001,5,8/14/2015,43.5
100001,5,8/21/2015,44
100001,5,8/28/2015,44.5
100001,5,9/4/2015,45
100001,5,9/11/2015,45.5
100001,5,9/18/2015,46
100001,5,9/25/2015,46.5
