id,name,data_provider_id,level,parent_id,esg_type,weight
10,Insight TruValue,TI,1,,,
11,Insight Human Capital,TI,2,10,,
12,Insight Supply Chain,TI,2,10,,
13,Insight Environment Water,TI,2,10,,
14,Insight Environment Atmosphere,TI,2,10,,
15,Insight Marketing Practices,TI,2,10,,
16,Insight Sustainable Energy Use And Production,TI,2,10,,
17,Insight Data Security And Privacy,TI,2,10,,
18,Insight Environment Land,TI,2,10,,
19,Insight Business Model,TI,2,10,,
20,Insight Political Influence,TI,2,10,,
21,Insight Anti-Competitive Behavior,TI,2,10,,
22,Insight Corporate Governance,TI,2,10,,
23,Insight Product Integrity And Innovation,TI,2,10,,
24,Insight Social Impact,TI,2,10,,
25,Pulse TruValue,TP,1,,,
26,Pulse Human Capital,TP,2,25,,
27,Pulse Supply Chain,TP,2,25,,
28,Pulse Environment Water,TP,2,25,,
29,Pulse Environment Atmosphere,TP,2,25,,
30,Pulse Marketing Practices,TP,2,25,,
31,Pulse Sustainable Energy Use And Production,TP,2,25,,
32,Pulse Data Security And Privacy,TP,2,25,,
33,Pulse Environment Land,TP,2,25,,
34,Pulse Business Model,TP,2,25,,
35,Pulse Political Influence,TP,2,25,,
36,Pulse Anti-Competitive Behavior,TP,2,25,,
37,Pulse Corporate Governance,TP,2,25,,
38,Pulse Product Integrity And Innovation,TP,2,25,,
39,Pulse Social Impact,TP,2,25,,
1,Arabesque UNGC,AU,1,,a,
4,Arabesque UNGC Environment,AU,2,1,e,
2,Arabesque UNGC Human Rights,AU,2,1,s,
3,Arabesque UNGC Labour Rights,AU,2,1,s,
5,Arabesque UNGC Anti Corruption,AU,2,1,g,
6,Arabesque ESG,AE,1,,a,
8,Arabesque ESG Social Score,AE,2,6,s,
7,Arabesque ESG Environment Score,AE,2,6,e,
9,Arabesque ESG Governance Score,AE,2,6,g,
